sensor_id,timestamp,vehicle_count,vehicle_type,speed,region
SENSOR_001,2024-01-15T08:00:00,45,car,55.5,DOWNTOWN
SENSOR_001,2024-01-15T08:01:00,52,car,58.2,DOWNTOWN
SENSOR_001,2024-01-15T08:02:00,48,car,52.1,DOWNTOWN
SENSOR_001,2024-01-15T08:03:00,55,car,50.8,DOWNTOWN
SENSOR_001,2024-01-15T08:04:00,42,car,56.3,DOWNTOWN
SENSOR_002,2024-01-15T08:00:00,38,car,62.0,UPTOWN
SENSOR_002,2024-01-15T08:01:00,41,car,59.5,UPTOWN
SENSOR_002,2024-01-15T08:02:00,35,car,64.2,UPTOWN
SENSOR_002,2024-01-15T08:03:00,44,car,58.8,UPTOWN
SENSOR_002,2024-01-15T08:04:00,39,car,61.5,UPTOWN
SENSOR_003,2024-01-15T08:00:00,28,truck,45.0,INDUSTRIAL
SENSOR_003,2024-01-15T08:01:00,32,truck,42.5,INDUSTRIAL
SENSOR_003,2024-01-15T08:02:00,25,truck,48.0,INDUSTRIAL
SENSOR_003,2024-01-15T08:03:00,30,truck,44.5,INDUSTRIAL
SENSOR_003,2024-01-15T08:04:00,27,truck,46.0,INDUSTRIAL
SENSOR_FAULT,2024-01-15T08:05:00,-1,car,60.0,DOWNTOWN
SENSOR_FAULT,2024-01-15T08:06:00,9999,car,60.0,DOWNTOWN
SENSOR_FAULT,2024-01-15T08:07:00,-1,car,60.0,DOWNTOWN
SENSOR_FAULT,2024-01-15T08:08:00,9999,car,60.0,DOWNTOWN
SENSOR_FAULT,2024-01-15T08:09:00,-1,car,60.0,DOWNTOWN
SENSOR_001,2024-01-15T08:10:00,150,car,35.0,DOWNTOWN
SENSOR_001,2024-01-15T08:11:00,165,car,32.5,DOWNTOWN
SENSOR_001,2024-01-15T08:12:00,155,car,30.0,DOWNTOWN
SENSOR_001,2024-01-15T08:13:00,170,car,28.5,DOWNTOWN
SENSOR_001,2024-01-15T08:14:00,160,car,31.0,DOWNTOWN
SENSOR_002,2024-01-15T08:10:00,55,car,55.0,UPTOWN
SENSOR_002,2024-01-15T08:11:00,58,car,52.5,UPTOWN
SENSOR_002,2024-01-15T08:12:00,52,car,58.0,UPTOWN
SENSOR_002,2024-01-15T08:13:00,60,car,50.5,UPTOWN
SENSOR_002,2024-01-15T08:14:00,56,car,54.0,UPTOWN
SENSOR_003,2024-01-15T08:10:00,35,bus,40.0,INDUSTRIAL
SENSOR_003,2024-01-15T08:11:00,38,bus,38.5,INDUSTRIAL
SENSOR_003,2024-01-15T08:12:00,32,bus,42.0,INDUSTRIAL
SENSOR_003,2024-01-15T08:13:00,40,bus,36.5,INDUSTRIAL
SENSOR_003,2024-01-15T08:14:00,36,bus,39.0,INDUSTRIAL
